Attr,TotalWorkingYears,Ovt,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,dfh,Age,MonthlyIncome,EnvironmentSatisfaction,NumCompaniesWorked
1,15,0,14,11,9,15,35,4148,4,0
0,18,0,1,0,0,10,38,9824,3,0
0,5,0,5,3,4,9,24,4401,3,3
0,13,0,13,12,9,1,56,6306,3,1
0,9,1,8,7,7,8,30,11416,2,2
0,29,0,20,6,17,26,51,16307,1,1
0,14,0,10,9,8,5,54,4490,3,0
1,6,1,3,2,2,2,26,2042,1,2
0,5,0,5,3,3,1,26,2007,1,2
0,10,1,10,0,9,19,37,7642,1,7
0,9,0,3,2,2,7,31,9637,1,2
0,6,0,6,4,4,23,30,2859,1,4
0,16,1,13,2,12,1,37,10377,3,4
0,9,0,2,2,0,4,45,6410,2,0
0,6,0,5,3,4,28,26,6272,1,1
0,10,0,4,3,3,1,34,2996,4,5
0,16,1,16,10,1,25,35,10388,3,0
0,13,0,11,9,9,10,29,5957,1,6
0,7,0,6,5,3,5,37,3500,3,1
0,12,0,12,9,10,10,40,3072,1,1
0,4,0,4,3,2,2,29,4649,4,4
0,14,1,0,0,0,12,42,5087,2,7
0,22,1,17,13,9,1,29,16064,1,5
0,31,0,31,6,7,2,50,17924,1,1
0,12,0,2,2,2,2,48,8120,2,3
0,32,0,7,0,6,3,35,19517,1,3
0,6,0,3,2,2,4,34,6500,3,5
0,10,0,10,8,3,1,35,6524,3,4
0,8,1,4,3,2,1,42,6062,4,1
0,5,0,5,2,3,26,31,2911,1,1
0,6,0,6,4,1,6,39,2141,4,1
0,1,0,1,1,0,9,19,2552,3,3
1,11.26224282,0,2,2,1,2,28,4382,3,2
0,15,0,13,11,7,8,35,7725,2,0
0,6,0,2,0,2,2,25,2187,3,0
0,18,0,14,7,10,1,46,8381,2,7
0,19,1,1,0,0,3,38,6861,2,8
0,22,0,22,10,4,2,41,16015,4,1
0,23,0,13,12,1,3,46,16606,3,8
0,10,1,7,7,7,10,40,2213,4,1
0,24,0,22,6,17,8,49,10248,1,0
0,9,1,4,3,3,1,44,5454,2,4
1,22,0,20,6,13,8,31,13237,2,1
0,18,1,10,9,9,6,52,5577,4,3
0,5,0,5,4,2,6,52,2810,4,1
0,20,0,17,9,15,9,45,2348,2,1
0,22,0,19,7,16,1,40,16823,1,1
0,22,0,10,7,8,17,54,10739,3,8
1,14,0,4,2,2,5,26,10596,3,5
0,8,0,8,7,3,7,38,6725,3,1
1,7,1,0,0,0,2,37,2090,4,1
0,11,0,8,7,1,27,29,4335,2,4
0,1,1,1,0,0,16,22,2935,4,1
1,2,0,2,2,1,23,35,2889,1,4
0,4,0,3,2,2,1,22,3737,3,0
0,12,0,7,7,7,15,30,7140,3,2
0,5,1,5,3,0,8,54,3815,1,3
0,31,0,25,8,7,2,53,15427,1,2
0,18,1,4,2,3,16,40,7945,3,6
0,14,0,13,9,9,1,34,5343,4,0
0,5,0,5,2,4,9,19,3816,2,1
0,12,0,11,8,8,2,31,8474,1,1
0,30,1,15,11,12,9,24,13966,4,2
1,6,0,5,2,4,23,34,3162,2,0
1,11,0,11,7,8,7,34,4424,1,1
0,10,0,10,7,9,1,34,8722,3,1
1,6,1,5,2,3,9,33,8224,1,6
0,5,0,3,2,2,1,28,2080,4,2
0,4,1,2,2,2,1,25,4559,1,3
0,3,0,3,2,2,1,45,2305,4,1
0,10,0,9,5,7,23,34,4568,2,0
0,13,0,7,7,7,7,31,7547,4,5
0,4,1,4,2,3,26,22,2814,2,4
0,18,1,4,2,3,22,54,7945,4,6
0,25,0,17,14,11,10,40,8633,4,0
0,10,0,7,0,7,10,44,5294,4,3
0,7,0,4,2,2,1,49,3580,3,2
0,16,1,2,2,2,2,44,10209,2,1
0,8,1,1,0,1,29,42,5916,1,3
0,1,0,1,0,0,2,32,2827,3,8
1,14,1,0,0,0,2,19,5087,4,4
0,28,0,5,4,3,2,49,19161,2,3
1,9,0,6,1,5,2,37,2468,4,4
0,21,0,7,6,7,23,38,17181,1,4
0,8,0,8,7,7,3,26,4420,1,1
0,24,1,20,8,9,10,41,10124,4,0
0,8,1,8,7,7,2,38,3564,1,2
0,2,0,2,1,2,11,22,2244,1,3
0,16,0,11,8,9,2,36,2519,3,1
0,31,0,25,8,7,4,41,15427,1,2
0,8,0,8,7,7,28,29,5296,2,8
0,17,1,8,7,7,18,55,6385,3,3
0,8,0,7,7,7,2,52,6146,1,4
0,23,0,20,4,8,26,42,4193,4,5
0,7,0,4,2,2,1,49,3580,3,2
1,7,0,6,2,2,26,31,9957,3,1
1,6,1,6,5,2,3,24,4577,1,1
1,10,1,10,8,7,3,33,3348,1,2
0,8,0,3,2,2,21,43,2258,4,1
0,23,0,21,7,17,25,37,10231,3,3
0,6,0,6,5,5,15,29,2340,3,3
0,9,0,6,5,2,1,32,4087,4,4
0,4,1,3,2,2,1,27,3730,1,0
0,21,0,1,0,0,1,41,18303,3,1
0,8,0,7,5,1,10,58,3291,3,3
1,23,1,1,0,0,1,48,5381,1,9
0,26,1,26,14,0,21,58,16752,3,1
0,9,1,1,0,0,9,58,3346,2,4
0,10,1,10,7,2,8,29,5056,2,1
0,7,1,4,2,2,2,36,3929,1,2
0,8,0,3,2,2,10,28,2109,4,0
1,10,1,10,9,8,9,30,7847,4,1
0,7,0,7,7,7,9,27,4105,4,6
0,6,1,5,3,3,10,38,5666,3,6
0,5,0,5,2,4,9,19,3816,2,1
1,25,0,1,0,0,3,39,18265,3,2
0,6,1,1,0,0,20,49,4766,3,1
0,24,0,24,7,9,8,42,18430,2,1
0,1,0,1,0,0,3,26,2033,4,1
0,10,0,8,7,5,8,36,11713,1,2
0,6,0,4,2,2,5,21,2180,3,0
0,10,0,4,3,2,19,32,9610,4,3
0,7,0,2,2,0,19,27,2105,4,4
1,7,1,3,2,2,22,31,2644,4,3
0,12,0,9,7,3,1,38,5160,3,4
0,7,0,5,4,2,2,30,2089,1,4
0,7,0,6,5,3,17,24,3500,3,0
0,6,1,5,4,4,2,59,6349,2,0
0,12,1,11,7,9,2,40,5220,3,4
0,10,0,3,2,2,3,49,4789,3,4
0,4,1,3,2,2,7,31,3506,3,0
1,9,0,9,7,7,2,32,7412,2,1
1,13,0,9,7,7,21,46,8926,4,0
0,33,0,5,4,4,1,54,10502,4,7
0,2,1,2,2,2,1,35,2070,3,2
0,33,0,5,4,4,3,53,10502,4,7
1,19,0,10,7,8,7,32,4810,2,2
0,10,0,10,8,0,9,38,17444,3,1
0,6,0,6,5,4,1,26,6397,3,1
0,12,1,11,9,7,6,37,3579,3,3
0,15,1,7,2,7,19,40,2741,3,1
0,13,0,12,7,7,29,31,5468,1,8
0,21,0,16,12,14,6,26,19392,4,7
0,10,1,10,9,6,1,34,7083,4,1
0,10,1,10,0,9,5,29,4187,1,5
0,4,0,3,2,2,7,33,4302,4,5
0,4,0,3,2,2,9,29,4374,4,0
0,10,0,9,3,7,1,41,4103,3,0
0,18,0,4,2,2,4,36,5131,4,1
0,11,0,7,7,7,2,38,6893,2,4
0,9,1,5,3,0,4,34,9713,3,5
1,6,1,6,5,1,21,19,2121,2,9
0,33,1,19,16,9,23,56,13402,4,1
0,4,1,3,2,2,4,55,4035,4,0
0,5,0,5,4,2,9,36,2810,1,1
0,8,0,4,3,3,4,37,2532,3,6
1,37,0,10,9,7,28,49,16835,2,3
0,5,0,0,0,0,5,33,2976,2,9
1,10,0,10,2,7,3,44,11935,2,1
0,13,0,5,4,4,2,39,5204,4,0
0,10,0,6,3,3,2,31,2936,4,2
0,11,0,5,4,2,2,30,6091,3,1
0,17,0,17,14,8,8,31,10096,1,0
0,10,1,9,7,5,12,31,5855,4,0
0,5,0,5,2,3,4,25,4256,3,1
0,21,0,20,7,9,10,42,16799,3,0
0,3,0,2,2,2,6,22,2773,4,0
0,5,0,5,2,4,9,28,2070,4,1
0,10,0,10,7,9,25,38,4319,1,1
0,3,0,2,1,2,10,38,2684,3,0
0,4,0,3,2,2,3,24,4999,1,0
0,23,0,3,2,2,2,55,10976,4,3
0,25,0,25,10,9,12,43,14336,1,1
0,10,0,4,3,2,9,35,9610,4,6
0,21,0,21,6,6,28,45,16704,4,1
0,17,0,14,1,7,14,47,10609,3,7
0,28,0,2,2,2,18,46,10527,1,5
0,25,1,3,2,2,23,24,16880,3,4
0,36,0,24,15,15,14,55,18722,3,8
0,5,0,4,2,1,8,42,4342,3,6
0,12,1,5,3,2,1,33,5660,2,0
0,9,0,7,7,7,13,39,9715,4,3
0,6,1,5,4,4,1,27,6349,3,4
0,9,0,2,2,0,2,31,6410,1,3
0,13,1,11,9,7,7,40,4581,4,3
0,4,0,2,2,2,4,31,3978,1,1
1,12,0,1,0,0,20,31,9824,1,3
1,7,0,6,4,4,3,26,3102,3,0
1,7,1,2,2,2,19,42,2759,3,6
0,10,0,5,4,3,14,42,6244,3,7
0,9,1,9,0,7,4,47,4163,4,1
0,16,0,1,0,0,8,33,5093,2,0
0,10,0,2,2,2,18,35,9362,3,2
0,12,0,10,9,8,1,50,3697,2,9
0,15,0,1,0,0,15,34,6815,4,7
0,9,0,7,7,7,1,40,16124,3,1
0,14,0,14,13,8,4,32,6162,3,1
0,19,0,13,11,9,10,24,4735,4,7
0,6,0,6,5,4,12,40,6274,2,1
0,4,1,3,2,0,10,37,2696,2,0
0,5,0,5,2,0,27,30,4601,3,8
0,25,0,23,15,4,1,45,10748,3,0
0,6,0,2,2,2,6,36,8639,1,2
0,5,0,5,4,3,1,35,4859,1,4
0,15,0,15,10,12,11,35,5593,3,1
0,8,1,2,2,2,8,40,4069,4,3
0,15,1,3,2,2,10,46,9071,3,2
0,11,0,7,5,7,7,50,2514,3,4
0,4,1,3,2,2,2,34,4538,3,4
0,10,0,5,4,0,6,53,2973,3,5
0,26,0,25,9,13,2,40,19190,3,1
1,10,0,10,7,9,24,28,8722,2,1
0,10,0,3,2,2,26,36,5347,1,0
0,21,0,21,9,3,7,39,19272,3,1
0,26,0,25,9,13,2,40,19190,3,1
1,13,0,13,8,8,2,31,10648,2,1
0,13,1,13,12,9,4,47,5228,2,1
0,3,0,3,2,2,1,28,2706,3,0
0,7,0,1,0,0,1,44,2177,1,3
0,26,0,14,9,12,11,54,16032,4,1
0,5,0,3,2,2,2,34,4033,4,1
0,15,1,1,0,0,18,38,5811,2,3
0,15,1,1,0,0,6,45,5811,4,3
0,21,0,21,16,10,2,32,19973,3,1
1,5,1,3,2,2,1,29,2800,2,6
1,10,0,5,4,3,5,33,6244,3,7
0,1,0,1,0,1,9,40,2690,4,1
1,32,0,5,4,3,19,25,17399,3,2
0,15,0,4,3,3,7,36,2013,1,2
0,1,0,1,0,0,1,28,1563,1,2
0,10,0,8,7,7,10,28,3660,3,3
0,14,1,10,7,2,1,44,5743,1,4
0,10,0,10,9,8,12,36,2691,2,1
1,0,1,0,0,0,22,19,1675,4,9
0,10,0,7,0,7,16,30,5294,3,0
0,4,1,3,2,2,4,25,2321,3,0
1,22,0,20,6,13,8,31,13237,2,7
1,6,0,3,2,2,9,25,4400,1,9
0,14,0,11,10,1,1,32,10322,3,0
1,6,0,3,2,2,16,33,5324,1,5
0,7,0,5,2,3,25,43,3162,4,1
0,13,0,13,8,8,15,21,10648,3,1
0,9,0,1,0,0,20,45,6334,3,7
0,21,0,21,9,3,6,48,19272,2,1
0,10,1,8,7,7,13,25,8446,3,7
0,20,0,20,7,10,2,39,4553,4,1
0,15,1,5,4,1,3,36,9278,1,3
1,5,1,4,2,2,18,35,4614,4,0
0,9,0,5,4,4,1,47,5238,4,2
0,9,1,9,7,8,9,38,2235,1,3
0,13,0,7,7,7,28,35,5460,2,4
0,23,1,22,14,5,8,30,10447,4,6
0,5,1,4,2,3,2,40,2342,4,0
0,20,0,20,16,6,1,42,4907,2,4
1,11,0,3,2,2,21,19,6870,4,0
0,25,0,24,0,7,1,45,19202,3,0
0,6,1,4,3,2,1,40,7457,2,2
0,4,0,3,2,2,3,34,3737,3,0
1,12,1,0,0,0,24,53,6877,3,5
0,16,0,6,2,5,3,54,5940,4,2
1,6,1,6,3,2,3,31,2886,2,1
0,4,1,4,2,3,1,37,3065,4,2
0,1,0,1,0,0,17,24,2127,4,1
0,15,0,4,3,3,2,43,2013,4,2
0,11,0,7,0,6,29,29,6384,4,0
0,6,0,2,2,2,28,25,8639,1,8
0,7,0,4,2,2,1,44,3580,3,2
0,6,0,5,4,3,16,35,2426,1,1
0,33,1,19,16,9,23,56,13402,4,1
0,10,0,0,0,0,13,42,5538,2,0
0,4,0,4,2,3,7,33,2610,3,3
0,26,0,9,3,1,11,45,17650,4,1
0,10,0,8,7,7,3,34,5154,4,5
0,5,0,4,2,2,1,30,4898,4,0
0,3,1,2,2,2,9,31,2657,3,0
0,9,0,8,7,7,17,33,2455,2,1
0,1,1,1,1,0,16,26,1859,3,1
0,10,0,8,7,7,29,32,4025,4,1
0,10,0,10,7,8,1,29,2720,2,2
1,1,0,1,0,0,4,26,2693,3,1
0,13,0,8,7,2,1,26,2088,1,4
0,10,0,9,8,5,1,28,6674,3,0
0,6,1,4,2,3,10,42,2028,1,1
0,5,0,3,2,2,21,20,2678,2,1
0,7,0,7,7,7,7,26,2570,4,1
1,9,0,5,3,4,1,31,2097,2,4
0,6,0,6,5,1,27,35,2559,3,1
1,4,1,2,2,0,13,29,2335,1,0
0,34,1,33,7,9,1,26,2277,3,3
0,15,1,5,4,1,9,40,9278,3,6
0,6,0,4,3,1,2,25,3424,1,2
0,10,0,10,7,9,25,38,4319,1,1
1,10,0,1,0,0,9,36,7351,3,6
0,22,0,18,16,8,2,41,16595,2,7
1,7,0,7,7,7,17,26,9981,1,7
0,6,0,5,0,2,8,33,7104,3,0
0,28,0,2,2,2,18,46,10527,1,5
0,10,1,9,5,8,3,33,4193,1,1
0,1,0,1,0,0,2,33,2596,3,1
0,6,0,0,0,0,2,43,2979,3,2
0,5,0,1,0,0,1,50,3038,1,3
0,6,0,4,3,2,24,24,3597,4,1
0,7,0,6,2,4,3,34,7756,1,0
0,15,1,12,8,7,10,36,8321,4,7
1,8,1,8,7,4,4,26,5828,4,5
0,22,0,4,1,0,2,31,17159,3,1
0,5,0,4,3,2,1,28,2272,4,1
0,11,1,11,9,10,7,31,7143,3,1
0,7,0,7,5,7,9,28,5253,2,1
0,8,1,2,2,2,11,27,4069,4,0
0,6,0,4,3,2,2,46,5326,3,4
0,8,0,4,3,3,26,28,3408,2,1
1,19,1,1,0,0,24,44,3161,4,1
1,14,0,14,11,11,2,28,6687,3,0
0,10,0,10,9,0,2,36,7596,2,1
0,33,1,33,9,10,5,51,14026,3,1
0,10,1,4,0,3,18,35,9884,1,0
0,12,1,11,9,7,9,30,6347,3,0
0,1,0,1,0,0,2,27,2341,4,1
1,6,1,5,3,3,11,49,5666,3,1
0,15,0,2,2,2,3,51,13116,1,1
0,9,0,7,6,7,7,27,6811,4,0
0,1,0,1,0,0,19,28,1563,4,3
0,10,1,10,2,2,3,51,5689,4,0
0,10,0,10,7,9,1,39,3491,3,1
0,23,0,8,7,0,1,49,15379,3,1
0,7,0,2,2,2,15,43,6804,4,7
0,12,0,5,3,3,3,37,7428,3,2
0,10,0,10,9,8,10,38,9980,1,1
0,1,1,1,0,0,10,29,2851,2,1
0,10,0,9,8,8,16,40,8412,2,7
0,22,0,22,7,10,2,31,19189,2,1
0,21,0,3,2,2,1,48,15402,4,1
0,17,0,9,6,8,2,49,5390,4,4
0,8,0,5,1,4,2,49,4507,4,3
0,9,0,9,8,8,18,35,9069,2,1
0,8,0,8,7,7,21,28,4420,3,1
0,0,0,0,0,0,3,20,3033,2,1
0,8,0,2,2,2,4,33,2809,4,3
0,6,1,1,0,1,26,46,3057,2,6
0,9,0,5,2,4,24,44,3708,1,1
0,4,1,3,2,0,10,37,2696,2,0
0,22,0,22,7,10,1,41,19189,4,1
0,30,1,5,4,2,2,55,16659,3,1
0,23,1,12,11,11,16,36,13320,3,3
0,14,0,7,1,7,7,54,6854,4,4
1,23,0,19,7,8,7,24,8865,1,5
0,8,0,3,2,2,11,37,3629,1,1
1,12,0,6,3,1,1,50,6728,2,7
0,10,1,10,8,7,2,42,12185,1,1
0,14,0,7,1,7,7,54,6854,4,4
0,32,1,9,8,5,1,58,19701,4,1
0,10,0,7,7,7,27,28,5377,4,1
0,25,0,4,2,3,15,46,19081,4,5
0,4,0,4,3,1,8,22,2451,4,1
1,7,0,1,0,0,2,58,2479,4,4
0,10,0,10,8,6,15,34,6125,3,7
1,19,0,1,0,0,5,39,2086,4,3
0,23,1,22,14,5,8,30,10447,4,6
0,17,0,5,4,3,6,28,3452,2,6
0,2,1,1,0,0,2,30,3388,1,2
0,2,0,2,2,2,1,57,2625,3,1
0,14,0,11,10,8,5,34,11631,3,1
0,14,1,9,6,8,5,46,5772,1,5
0,2,0,2,2,2,1,33,2372,3,2
0,25,0,17,14,11,25,47,8633,1,2
0,5,1,4,2,3,2,40,2342,4,2
0,3,1,1,0,0,6,36,2285,2,9
0,5,1,5,3,3,2,46,4194,3,1
0,8,0,0,0,0,8,42,3968,4,4
0,23,1,2,2,2,15,58,15787,1,2
0,10,0,9,8,8,25,45,5906,2,0
0,5,0,5,4,4,2,55,3785,4,2
0,9,1,5,4,0,3,50,9094,3,2
0,1,1,1,1,0,9,27,2515,3,1
0,9,1,1,0,0,9,58,3346,2,4
0,8,0,5,2,4,1,38,2143,3,0
1,9,0,9,8,8,10,20,4661,3,1
0,0,0,0,0,0,1,18,1611,4,1
0,12,1,6,2,3,22,41,5467,4,4
0,4,1,3,2,2,1,27,3730,1,1
0,29,1,1,0,0,12,30,17875,4,4
0,28,0,2,0,2,8,53,11836,1,6
0,17,0,8,5,6,7,35,10221,3,1
0,8,1,4,1,3,28,42,2432,4,4
0,7,0,2,2,2,1,29,6804,2,4
0,8,0,6,2,0,10,23,5071,3,3
0,7,0,5,1,3,1,55,6852,3,7
0,15,0,13,9,12,2,42,4759,4,3
0,18,0,1,0,0,25,43,10798,3,7
0,14,0,10,8,6,3,44,3143,4,6
0,11,0,5,3,2,21,42,5265,3,1
0,17,0,5,4,3,6,28,3452,2,6
0,4,0,3,2,2,7,36,4851,2,0
0,1,1,1,0,0,7,35,2340,2,1
0,22,0,20,6,13,6,40,13237,2,7
0,6,0,6,5,4,2,34,6274,4,1
1,25,0,1,0,0,3,39,18265,3,6
0,2,1,2,2,2,2,28,3867,4,1
0,22,0,17,13,2,8,27,14852,3,6
0,5,1,4,2,3,2,43,2342,2,0
0,6,0,5,2,4,23,26,3162,3,1
0,10,0,10,0,8,9,30,2206,4,1
0,29,1,27,3,8,1,32,18740,1,1
1,7,0,5,2,4,2,38,4855,3,1
0,18,0,18,7,17,14,37,3034,4,1
1,20,0,7,7,7,7,23,4960,2,5
0,25,0,9,7,4,18,59,10512,4,6
0,9,0,8,3,7,4,27,5661,2,0
0,22,0,22,10,4,2,41,16015,4,1
0,8,0,3,2,2,19,29,4262,4,4
0,33,0,29,8,10,23,58,19566,2,5
0,9,0,6,2,3,6,36,5731,3,0
0,4,1,3,2,2,7,31,3506,3,3
0,10,1,5,4,2,12,39,7756,4,3
1,15,0,14,8,8,2,32,8858,3,1
0,1,1,1,0,0,2,32,2121,3,1
0,17,0,13,7,7,6,42,4502,4,3
0,10,0,5,2,3,2,31,5332,4,4
0,2,0,2,2,2,5,31,2789,4,1
0,20,0,4,3,3,10,50,10496,4,6
0,10,0,10,8,6,15,34,6125,3,1
1,7,1,5,2,1,22,30,2132,1,4
0,25,1,3,2,2,23,24,16880,3,4
0,9,0,8,4,1,2,55,5473,4,4
0,26,0,14,13,8,26,55,19094,3,4
0,6,0,3,2,2,7,46,4400,3,9
0,15,1,7,2,7,19,40,2741,3,8
0,21,0,1,0,0,1,41,18303,3,1
0,8,0,5,1,4,11,49,4507,4,3
0,4,0,3,2,2,7,30,2983,4,9
0,12,0,1,0,0,4,37,9824,2,3
0,19,0,1,0,0,15,29,2086,1,3
0,37,0,6,4,2,20,31,7260,1,1
0,4,0,4,3,2,2,29,4649,4,4
0,6,0,3,2,2,4,34,6500,3,5
0,10,0,8,3,7,6,38,5321,1,2
0,13,0,11,7,7,2,33,5147,4,4
1,19,0,1,0,0,5,39,2086,4,3
0,14,0,14,11,13,14,18,2028,1,1
0,17,1,15,7,12,2,38,5980,1,6
0,10,0,7,7,2,22,35,11996,2,7
0,10,0,10,0,8,16,30,2862,2,3
0,10,1,10,9,7,10,36,5673,2,1
0,32,1,9,8,5,2,36,19701,3,3
0,6,0,6,5,4,1,26,6397,3,1
0,9,0,2,2,2,8,36,13675,1,9
1,8,0,3,1,2,29,33,2345,4,4
0,26,0,3,2,1,1,40,17861,2,1
0,17,1,15,7,12,2,38,5980,1,1
0,4,1,4,2,3,26,22,2814,2,1
0,15,1,15,14,7,8,45,4001,4,6
0,7,1,7,7,7,18,49,6804,4,1
0,29,0,8,7,7,8,29,10466,4,3
0,4,1,3,2,2,2,34,4538,3,4
0,12,0,11,8,8,1,30,8474,3,1
0,10,1,10,8,0,26,43,5126,1,1
0,13,1,7,7,5,2,41,2306,1,2
0,12,0,9,7,3,1,38,5160,3,4
1,5,0,4,2,0,24,56,2587,1,1
0,8,0,4,2,2,7,54,3537,4,5
0,7,0,3,2,2,1,25,3229,1,0
1,2,0,2,2,2,9,34,2742,1,0
1,5,1,5,2,3,5,41,4260,2,5
1,12,1,11,10,9,10,21,11510,2,0
1,6,1,6,4,3,5,25,5744,3,5
0,13,0,11,10,8,3,25,2592,4,0
0,21,1,21,8,6,1,39,19197,2,1
0,6,0,2,2,2,2,52,3212,3,7
0,6,0,6,5,3,2,34,4381,3,1
1,4,0,3,2,2,5,30,2422,2,0
0,9,0,3,2,2,6,53,6434,1,4
0,14,0,5,4,4,8,41,4393,3,6
0,36,0,10,9,9,2,51,17779,3,1
0,22,0,19,7,16,1,40,16823,1,1
0,10,0,8,7,7,27,30,5304,3,7
0,7,0,6,5,4,28,42,4523,4,0
